Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.128348,0.128906,0.128348,0.128348,0.099584,469033600
1980-12-15,0.122210,0.122210,0.121652,0.121652,0.094388,175884800
1980-12-16,0.113281,0.113281,0.112723,0.112723,0.087461,105728000
1980-12-17,0.115513,0.116071,0.115513,0.115513,0.089625,86441600
1980-12-18,0.118862,0.119420,0.118862,0.118862,0.092224,73449600
1980-12-19,0.126116,0.126674,0.126116,0.126116,0.097852,48630400
1980-12-22,0.132254,0.132813,0.132254,0.132254,0.102614,37363200
1980-12-23,0.137835,0.138393,0.137835,0.137835,0.106945,46950400
1980-12-24,0.145089,0.145647,0.145089,0.145089,0.112573,48003200
1980-12-26,0.158482,0.159040,0.158482,0.158482,0.122964,55574400
1980-12-29,0.160714,0.161272,0.160714,0.160714,0.124696,93161600
1980-12-30,0.157366,0.157366,0.156808,0.156808,0.121666,68880000
1980-12-31,0.152902,0.152902,0.152344,0.152344,0.118202,35750400
1981-01-02,0.154018,0.155134,0.154018,0.154018,0.119501,21660800
1981-01-05,0.151228,0.151228,0.150670,0.150670,0.116903,35728000
1981-01-06,0.144531,0.144531,0.143973,0.143973,0.111707,45158400
1981-01-07,0.138393,0.138393,0.137835,0.137835,0.106945,55686400
1981-01-08,0.135603,0.135603,0.135045,0.135045,0.104780,39827200
1981-01-09,0.142299,0.142857,0.142299,0.142299,0.110408,21504000
1981-01-12,0.142299,0.142299,0.141183,0.141183,0.109542,23699200
1981-01-13,0.136719,0.136719,0.136161,0.136161,0.105646,23049600
1981-01-14,0.136719,0.137277,0.136719,0.136719,0.106079,14291200
1981-01-15,0.139509,0.140625,0.139509,0.139509,0.108244,14067200
1981-01-16,0.138951,0.138951,0.138393,0.138393,0.107378,13395200
1981-01-19,0.146763,0.147321,0.146763,0.146763,0.113872,41574400
1981-01-20,0.142857,0.142857,0.142299,0.142299,0.110408,30083200
1981-01-21,0.145089,0.146205,0.145089,0.145089,0.112573,15904000
1981-01-22,0.146763,0.147879,0.146763,0.146763,0.113872,35548800
1981-01-23,0.146763,0.147321,0.146205,0.146205,0.113439,11222400
1981-01-26,0.144531,0.144531,0.143973,0.143973,0.111707,24640000
1981-01-27,0.143973,0.143973,0.142857,0.142857,0.110841,23699200
1981-01-28,0.138951,0.138951,0.138393,0.138393,0.107378,28156800
1981-01-29,0.133929,0.133929,0.133371,0.133371,0.103481,43904000
1981-01-30,0.127232,0.127232,0.126116,0.126116,0.097852,46188800
